,index,symbol,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l ticker
49,DLO_1,DLO,Inactive,1,12/16/2021,1/6/2022,1,0.719919,0.719919,0.0,25.0,20.78,4.219999999999999,34.73,34.73,28.859999999999996,-4.225924529999998,-4.225924529999998
50,DMTK_1,DMTK,Inactive,1,9/15/2021,11/30/2021,2,0.605275,0.605275,0.0,21.0,11.66,9.34,34.694880376688275,34.69497335921688,19.26,-9.342347219999995,-9.342347219999995
51,DOCS_1,DOCS,Inactive,1,11/12/2021,12/17/2021,3,1.663979,1.6639789999999999,1.1102230246251565e-16,110.0,85.28999999999999,24.71,66.10863828209371,76.81241639791465,51.256015983374795,-24.714451600000004,-24.714451600000004
52,DOCU_1,DOCU,Inactive,1,7/21/2021,12/6/2021,5,0.601784,0.601784,0.0,164.0,85.36,78.64,272.52588825891013,272.523031519615,141.84,-78.64467657999997,-78.64467657999997
53,DRRX_1,DRRX,Inactive,1,5/8/2017,5/11/2017,1,15.0,15.0,0.0,14.92,15.45,-0.5299999999999994,0.99,0.99,1.03,0.6000000000000005,0.6000000000000005
54,DVN_1,DVN,Inactive,1,3/21/2022,5/11/2022,1,1.632399,1.632399,-1.1102230246251565e-16,100.0,99.27000000000001,0.7299999999999969,61.26,68.58012109443564,60.8139704631037,-0.7280981699999898,-0.7280981699999898
55,EGP_1,EGP,Inactive,1,2/8/2022,3/22/2022,2,0.16269899999999998,0.162699,-2.7755575615628914e-17,32.0,31.69,0.3099999999999987,196.68373241384396,196.68221685443675,194.78,-0.3097353599999976,-0.3097353599999976
56,ENB_1,ENB,Inactive,1,11/16/2021,12/17/2021,1,1.237404,1.237404,0.0,50.0,45.7,4.299999999999997,40.41,40.41,36.93,-4.306165919999996,-4.306165919999996
57,EOG_1,EOG,Inactive,1,11/11/2021,12/16/2021,2,0.802743,0.802743,0.0,75.0,68.89,6.109999999999999,93.42855433183473,93.42965307701219,85.81999999999998,-6.107713730000014,-6.107713730000014
58,EOG_2,EOG,Inactive,2,4/28/2022,5/18/2022,1,2.0,2.0,0.0,227.64,247.78,-20.140000000000015,113.82,113.82,123.89,20.140000000000015,14.03228627
59,EPAM_1,EPAM,Inactive,1,7/16/2021,10/21/2021,3,0.165432,0.165432,0.0,95.0,105.63,-10.629999999999995,574.2524355626481,574.2540741815368,638.51,10.6302574,10.6302574
60,EPAM_2,EPAM,Inactive,2,12/27/2021,3/22/2022,3,0.147045,0.147045,0.0,101.0,42.75,58.25,686.8690205039273,686.8645652691353,290.73,-58.25026227,-47.62000487
61,ESTC_1,ESTC,Inactive,1,9/8/2021,3/21/2022,3,2.1793810000000002,2.1793810000000002,2.220446049250313e-16,275.0,177.26,97.74000000000001,126.18232966149559,630.3900636076277,81.3353255442715,-97.73870867999993,-97.73870867999993
