,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
10,MITK,Mitek,buy,5.0,9.45,47.25,0.0,7/25/2018,7/26/2018,Active,1.0,7/26/2018,n/a,1.0,5.0,0.0,5.0,47.25,0.0,47.25,9.45,9.45,0.0,0.0,0.0,,
11,SQ,Block,buy,1.0,71.02,71.02,0.0,7/25/2018,7/26/2018,Active,1.0,7/26/2018,n/a,1.0,1.0,0.0,1.0,71.02,0.0,71.02,71.02,71.02,0.0,0.0,0.0,,
12,GRPN,Groupon,referral,1.0,3.83,3.83,0.0,11/2/2019,11/2/2019,Active,1.0,11/2/2019,n/a,1.0,1.0,0.0,1.0,3.83,0.0,3.83,3.83,3.83,0.0,0.0,0.0,,
13,STMP,Stamps.com,buy,1.0,219.4,219.4,0.0,2/18/2021,2/18/2021,Active,1.0,2/18/2021,n/a,1.0,1.0,0.0,1.0,219.4,0.0,219.4,219.4,219.4,0.0,0.0,0.0,,
14,RKT,Rocket Companies,buy,2.0,38.89,77.78,0.0,3/3/2021,3/3/2021,Active,1.0,3/3/2021,n/a,1.0,2.0,0.0,2.0,77.78,0.0,77.78,38.89,38.89,0.0,0.0,0.0,,
15,RKT,Rocket Companies,buy,1.0,33.23,33.23,0.0,3/3/2021,3/3/2021,Active,1.0,3/3/2021,n/a,2.0,3.0,0.0,3.0,111.00999999999999,0.0,111.00999999999999,37.00333333333333,37.00333333333333,0.0,0.0,,0.0,0.0
16,CRNC,Cerence,buy,1.0,112.3,112.3,0.0,3/11/2021,3/11/2021,Active,1.0,3/11/2021,n/a,1.0,1.0,0.0,1.0,112.3,0.0,112.3,112.3,112.3,0.0,0.0,0.0,,
17,TGT,Target,buy,1.0,189.0,189.0,0.0,3/22/2021,3/22/2021,Active,1.0,3/22/2021,n/a,1.0,1.0,0.0,1.0,189.0,0.0,189.0,189.0,189.0,0.0,0.0,0.0,,
18,MELI,MercadoLibre,buy,0.175968,1420.71,250.0,0.0,3/24/2021,3/24/2021,Active,1.0,3/24/2021,n/a,1.0,0.175968,0.0,0.175968,250.0,0.0,250.0,1420.71,1420.71,0.0,0.0,0.0,,
19,MELI,MercadoLibre,buy,0.175155,1427.31,250.0,0.0,3/24/2021,3/24/2021,Active,1.0,3/24/2021,n/a,2.0,0.351123,0.0,0.351123,500.0,0.0,500.0,1424.002359087841,1424.0024151080959,0.0,0.0,,0.0,0.0
20,MELI,MercadoLibre,buy,0.353976,1412.53,500.0,0.0,3/24/2021,3/24/2021,Active,1.0,3/24/2021,n/a,3.0,0.705099,0.0,0.705099,1000.0,0.0,1000.0,1418.2429695829946,1418.240559127158,0.0,0.0,,0.0,0.0
21,TER,Teradyne,buy,1.0,126.37,126.37,0.0,4/1/2021,4/1/2021,Active,1.0,4/1/2021,n/a,1.0,1.0,0.0,1.0,126.37,0.0,126.37,126.37,126.37,0.0,0.0,0.0,,
22,ZG,Zillow Class A,buy,1.0,136.85,136.85,0.0,4/28/2021,4/28/2021,Active,1.0,4/28/2021,n/a,1.0,1.0,0.0,1.0,136.85,0.0,136.85,136.85,136.85,0.0,0.0,0.0,,
23,LITE,Lumentum,buy,1.0,82.88,82.88,0.0,5/4/2021,5/4/2021,Active,1.0,5/4/2021,n/a,1.0,1.0,0.0,1.0,82.88,0.0,82.88,82.88,82.88,0.0,0.0,0.0,,
24,LITE,Lumentum,buy,2.0,82.0,164.0,0.0,5/4/2021,5/4/2021,Active,1.0,5/4/2021,n/a,2.0,3.0,0.0,3.0,246.88,0.0,246.88,82.29333333333334,82.29333333333334,0.0,0.0,,0.0,0.0
25,CRNC,Cerence,buy,1.0,90.7,90.7,0.0,5/4/2021,5/4/2021,Active,1.0,3/11/2021,n/a,2.0,2.0,0.0,2.0,203.0,0.0,203.0,101.5,101.5,0.0,0.0,,0.0,0.0
26,NET,Cloudflare,buy,1.0,79.5,79.5,0.0,5/4/2021,5/4/2021,Active,1.0,5/4/2021,n/a,1.0,1.0,0.0,1.0,79.5,0.0,79.5,79.5,79.5,0.0,0.0,0.0,,
27,MO,Altria,buy,3.0,50.68,152.04,0.0,5/10/2021,5/10/2021,Active,1.0,5/10/2021,n/a,1.0,3.0,0.0,3.0,152.04,0.0,152.04,50.68,50.68,0.0,0.0,0.0,,
28,TTD,Trade Desk,buy,1.0,509.79,509.79,0.0,5/14/2021,5/17/2021,Active,1.0,5/17/2021,n/a,1.0,1.0,0.0,1.0,509.79,0.0,509.79,509.79,509.79,0.0,0.0,0.0,,
29,MKC,McCormick,buy,1.0,89.7,89.7,0.0,5/19/2021,5/19/2021,Active,1.0,5/19/2021,n/a,1.0,1.0,0.0,1.0,89.7,0.0,89.7,89.7,89.7,0.0,0.0,0.0,,
30,APPH,AppHarvest,buy,7.0,14.5,101.5,0.0,5/20/2021,5/20/2021,Active,1.0,5/20/2021,n/a,1.0,7.0,0.0,7.0,101.5,0.0,101.5,14.5,14.5,0.0,0.0,0.0,,
31,CIEN,Ciena,buy,2.0,51.91,103.82,0.0,5/20/2021,5/20/2021,Active,1.0,5/20/2021,n/a,1.0,2.0,0.0,2.0,103.82,0.0,103.82,51.91,51.91,0.0,0.0,0.0,,
32,SHOP,Shopify,buy,0.081426,1228.11,100.0,0.0,5/21/2021,5/21/2021,Active,1.0,5/21/2021,n/a,1.0,0.081426,0.0,0.081426,100.0,0.0,100.0,1228.11,1228.11,0.0,0.0,0.0,,
33,NVR,NVR,buy,0.021422,4668.1,100.0,0.0,5/21/2021,5/21/2021,Active,1.0,5/21/2021,n/a,1.0,0.021422,0.0,0.021422,100.0,0.0,100.0,4668.1,4668.1,0.0,0.0,0.0,,
34,SE,Sea Limited,buy,1.0,246.06,246.06,0.0,5/21/2021,5/21/2021,Active,1.0,5/21/2021,n/a,1.0,1.0,0.0,1.0,246.06,0.0,246.06,246.06,246.06,0.0,0.0,0.0,,
35,LOW,Lowe's,buy,1.0,191.3,191.3,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,1.0,0.0,1.0,191.3,0.0,191.3,191.3,191.3,0.0,0.0,0.0,,
36,AMZN,Amazon,buy,0.015283,3271.61,50.0,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,0.015283,0.0,0.015283,50.0,0.0,50.0,3271.61,3271.61,0.0,0.0,0.0,,
37,ZI,ZoomInfo Technologies,buy,1.0,43.25,43.25,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,1.0,0.0,1.0,43.25,0.0,43.25,43.25,43.25,0.0,0.0,0.0,,
38,RBLX,Roblox,buy,1.0,89.0,89.0,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,1.0,0.0,1.0,89.0,0.0,89.0,89.0,89.0,0.0,0.0,0.0,,
39,PAC,Grupo Aeroportuario del Pacific,buy,1.0,111.11,111.11,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,1.0,0.0,1.0,111.11,0.0,111.11,111.11,111.11,0.0,0.0,0.0,,
40,SNOW,Snowflake,buy,0.216689,230.75,50.0,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,0.216689,0.0,0.216689,50.0,0.0,50.0,230.75,230.75,0.0,0.0,0.0,,
41,ETSY,Etsy,buy,0.295083,169.44,50.0,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,0.295083,0.0,0.295083,50.0,0.0,50.0,169.44,169.44,0.0,0.0,0.0,,
42,AMZN,Amazon,buy,0.046278,3241.28,150.0,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,2.0,0.061561,0.0,0.061561,200.0,0.0,200.0,3248.8096598495804,3248.810123292344,0.0,0.0,,0.0,0.0
43,ATVI,Activision Blizzard,buy,1.0,96.35,96.35,0.0,5/25/2021,5/25/2021,Active,1.0,5/25/2021,n/a,1.0,1.0,0.0,1.0,96.35,0.0,96.35,96.35,96.35,0.0,0.0,0.0,,
44,LCID,Churchill Capital,buy,2.0,20.66,41.31,0.0,5/26/2021,5/26/2021,Active,1.0,5/26/2021,n/a,1.0,2.0,0.0,2.0,41.31,0.0,41.31,20.66,20.66,0.0,0.0,0.0,,
45,LCID,Churchill Capital,buy,1.0,20.5,20.5,0.0,5/26/2021,5/26/2021,Active,1.0,5/26/2021,n/a,2.0,3.0,0.0,3.0,61.81,0.0,61.81,20.606666666666666,20.603333333333335,0.0,0.0,,0.0,0.0
46,VGAC,VG,buy,3.0,9.98,29.94,0.0,5/26/2021,5/26/2021,Active,1.0,5/26/2021,n/a,1.0,3.0,0.0,3.0,29.94,0.0,29.94,9.98,9.98,0.0,0.0,0.0,,
47,CRM,Salesforce,buy,0.4247,235.46,100.0,0.0,6/1/2021,6/1/2021,Active,1.0,6/1/2021,n/a,1.0,0.4247,0.0,0.4247,100.0,0.0,100.0,235.46,235.46,0.0,0.0,0.0,,
48,LCID,Churchill Capital,buy,1.0,21.58,21.58,0.0,6/1/2021,6/1/2021,Active,1.0,5/26/2021,n/a,3.0,4.0,0.0,4.0,83.39,0.0,83.39,20.849999999999998,20.8475,0.0,0.0,,0.0,0.0
49,CRWD,CrowdStrike Holdings,buy,0.452474,221.01,100.0,0.0,6/1/2021,6/2/2021,Active,1.0,6/2/2021,n/a,1.0,0.452474,0.0,0.452474,100.0,0.0,100.0,221.01,221.01,0.0,0.0,0.0,,
50,ATVI,Activision Blizzard,buy,1.0,94.28,94.28,0.0,5/25/2021,6/3/2021,Active,1.0,5/25/2021,n/a,2.0,2.0,0.0,2.0,190.63,0.0,190.63,95.315,95.315,0.0,0.0,,0.0,0.0
51,PAC,Grupo Aeroportuario del Pacific,buy,0.017393,108.66,1.89,0.0,6/7/2021,6/8/2021,Active,1.0,5/25/2021,n/a,2.0,1.017393,0.0,1.017393,113.0,0.0,113.0,111.06811564459359,111.06819095472447,0.0,0.0,,0.0,0.0
52,TSM,Taiwan Semiconductor Manufacturing,buy,0.008625,115.94,1.0,0.0,6/8/2021,6/8/2021,Active,1.0,6/8/2021,n/a,1.0,0.008625,0.0,0.008625,1.0,0.0,1.0,115.94,115.94,0.0,0.0,0.0,,
53,TSM,Taiwan Semiconductor Manufacturing,buy,0.431387,115.91,50.0,0.0,6/8/2021,6/8/2021,Active,1.0,6/8/2021,n/a,2.0,0.440012,0.0,0.440012,51.0,0.0,51.0,115.91058805214404,115.90592983827713,0.0,0.0,,0.0,0.0
54,TGT,Target,buy,0.002933,231.84,0.68,0.0,6/10/2021,6/11/2021,Active,1.0,3/22/2021,n/a,2.0,1.002933,0.0,1.002933,189.68,0.0,189.68,189.12528226711055,189.12529550827423,0.0,0.0,,0.0,0.0
