symbol,stock,side,qty,cost basis,amount,fee,created date,transaction date
LUV,Southwest Airlines,buy,1.061745,47.09,50,0,11/22/2021,11/22/2021
PCOR,Procore Technologies,buy,1.136381,88,100,0,11/22/2021,11/22/2021
TOST,Toast,buy,4.445468,44.99,200,0,11/22/2021,11/22/2021
TWLO,Twilio,buy,0.704209,284.01,200,0,11/22/2021,11/22/2021
ZS,Zscaler,buy,0.272421,367.08,100,0,11/22/2021,11/22/2021
LMND,Lemonade,buy,1.420509,52.8,75,0,11/22/2021,11/22/2021
PLTR,Palantir Technologies,buy,2.452422,20.39,50,0,11/22/2021,11/22/2021
NET,Cloudflare,buy,0.534057,187.25,100,0,11/22/2021,11/22/2021
AFRM,Affirm,buy,0.40109,124.66,50,0,11/22/2021,11/22/2021
TSLA,Tesla,sell,0.095711,1157.55,110.79,0,11/22/2021,11/22/2021
ETSY,Etsy,buy,0.088811,281.5,25,0,11/23/2021,11/23/2021
EOG,EOG Resources,buy,0.274928,90.93,25,0,11/24/2021,11/24/2021
LC,Lending Club,buy,0.276702,36.14,10,0,11/24/2021,11/24/2021
BLK,BlackRock,buy,0.010729,932.05,10,0,11/24/2021,11/24/2021
QDEL,Quidel,buy,0.18487,135.23,25,0,11/24/2021,11/24/2021
SOFI,SoFi Technologies,buy,1.428571,17.5,25,0,11/24/2021,11/24/2021
CFLT,Confluent,buy,0.338535,73.85,25,0,11/24/2021,11/24/2021
MTTR,Matterport,buy,0.971628,25.73,25,0,11/24/2021,11/24/2021
COIN,Coinbase,buy,0.032485,307.83,10,0,11/24/2021,11/24/2021
LCID,Lucid Group,buy,0.193518,51.67,10,0,11/24/2021,11/24/2021
ESTC,Elastic N.V.,buy,0.165035,151.48,25,0,11/24/2021,11/24/2021
U,Unity Software,buy,0.142857,175,25,0,11/23/2021,11/24/2021
PUBM,PubMatic,buy,0.253936,39.38,10,0,11/24/2021,11/24/2021
AMTB,Amerant Bancorp,buy,0.326104,30.67,10,0,11/24/2021,11/24/2021
UPST,Upstart,buy,0.048211,207.42,10,0,11/24/2021,11/24/2021
PI,Impinj,buy,0.065015,76.91,5,0,11/24/2021,11/24/2021
